         OtsuT  KittlerT    LloydT     SungT   RidlerT    HuangT   RameshT      Li1T      Li2T    BrinkT    KapurT    SahooT  ShanbhagT      YenT     TsaiT
40    0.327451  0.300000  0.242042  0.339216  0.329130  0.323529  0.633333  0.317276  0.323529  0.362745  0.331373  0.331373   0.378431  0.331373  0.362745
41    0.303922  0.276471  0.219022  0.319608  0.308656  0.300000  0.641176  0.296194  0.300000  0.362745  0.303922  0.303922   0.354902  0.303922  0.339216
42    0.284314  0.252941  0.198900  0.300000  0.286160  0.276471  0.609804  0.273565  0.276471  0.362745  0.284314  0.284314   0.343137  0.284314  0.319608
43    0.264706  0.233333  0.183913  0.280392  0.269303  0.241176  0.605882  0.254441  0.260784  0.366667  0.272549  0.270455   0.311765  0.256863  0.300000
44    0.249020  0.213725  0.164429  0.260784  0.253688  0.241176  0.590196  0.237920  0.241176  0.366667  0.245098  0.245098   0.300000  0.245098  0.280392
45    0.233333  0.198039  0.148822  0.241176  0.235042  0.221569  0.574510  0.221918  0.225490  0.362745  0.233333  0.232326   0.260784  0.225490  0.264706
46    0.441176  0.425490  0.358994  0.456863  0.442297  0.437255  0.347059  0.433817  0.437255  0.386275  0.445098  0.444643   0.390196  0.445098  0.476471
47    0.217647  0.178431  0.135918  0.229412  0.219567  0.205882  0.558824  0.206606  0.213725  0.358824  0.217647  0.217647   0.194118  0.217647  0.249020
48    0.468627  0.064706  0.374999  0.260784  0.469652  0.919608  0.754902  0.275556  0.386275  0.735294  0.860784  0.894346   0.876471  0.911765  0.727451
49    0.468627  0.037255  0.364565  0.249020  0.467638  0.907843  0.715686  0.273107  0.386275  0.700000  0.845098  0.873584   0.856863  0.892157  0.707843
50    0.468627  0.021569  0.355139  0.794118  0.467763  0.892157  0.680392  0.270845  0.382353  0.676471  0.825490  0.853734   0.837255  0.872549  0.688235
51    0.468627  0.013725  0.343169  0.798039  0.470348  0.872549  0.649020  0.269331  0.382353  0.649020  0.809804  0.844761   0.825490  0.868627  0.672549
52    0.476471  0.009804  0.333050  0.794118  0.482219  0.880392  0.621569  0.268845  0.382353  0.625490  0.774510  0.829139   0.805882  0.856863  0.664706
53    0.656863  0.005882  0.313677  0.778431  0.674248  0.829412  0.574510  0.271144  0.398039  0.586275  0.762745  0.794190   0.782353  0.821569  0.641176
54    0.680392  0.005882  0.300525  0.770588  0.682115  0.845098  0.562745  0.274838  0.421569  0.570588  0.743137  0.777888   0.766667  0.805882  0.633333
55    0.680392  0.005882  0.289006  0.762745  0.689682  0.813725  0.539216  0.281434  0.617647  0.558824  0.727451  0.763502   0.750980  0.794118  0.629412
56    0.672549  0.005882  0.278348  0.747059  0.681969  0.813725  0.523529  0.606626  0.633333  0.543137  0.707843  0.746938   0.735294  0.778431  0.621569
57    0.664706  0.005882  0.265602  0.743137  0.678139  0.786275  0.515686  0.611495  0.633333  0.539216  0.692157  0.733353   0.715686  0.766667  0.621569
58    0.668627  0.005882  0.254133  0.727451  0.671639  0.790196  0.507843  0.608536  0.625490  0.527451  0.672549  0.717699   0.700000  0.750980  0.617647
59    0.656863  0.005882  0.242695  0.719608  0.662665  0.774510  0.511765  0.605944  0.629412  0.511765  0.656863  0.703764   0.684314  0.739216  0.613725
60    0.652941  0.005882  0.230815  0.711765  0.654175  0.766667  0.492157  0.603819  0.617647  0.523529  0.641176  0.688762   0.672549  0.723529  0.609804
61    0.649020  0.005882  0.218053  0.700000  0.649353  0.739216  0.503922  0.598321  0.613725  0.515686  0.625490  0.676071   0.656863  0.711765  0.609804
62    0.503922  0.005882  0.322757  0.786275  0.513024  0.864706  0.598039  0.269324  0.390196  0.605882  0.782353  0.811358   0.801961  0.837255  0.649020
63    0.641176  0.005882  0.205476  0.692157  0.641742  0.747059  0.492157  0.585706  0.609804  0.492157  0.609804  0.663123   0.641176  0.700000  0.605882
64    0.735294  0.747059  0.650470  0.747059  0.737245  0.758824  0.480392  0.736753  0.735294  0.590196  0.707843  0.707843   0.582353  0.707843  0.715686
65    0.692157  0.703922  0.599874  0.703922  0.693928  0.715686  0.417647  0.693281  0.692157  0.535294  0.660784  0.660784   0.519608  0.660784  0.668627
66    0.652941  0.664706  0.550487  0.664706  0.653586  0.676471  0.362745  0.651769  0.652941  0.507843  0.613725  0.613725   0.468627  0.613725  0.625490
67    0.613725  0.625490  0.507670  0.625490  0.615220  0.641176  0.323529  0.614222  0.613725  0.480392  0.574510  0.574510   0.425490  0.574510  0.590196
68    0.578431  0.590196  0.465872  0.590196  0.579522  0.605882  0.382353  0.577241  0.578431  0.445098  0.535294  0.535294   0.401961  0.535294  0.550980
69    0.515686  0.523529  0.395532  0.523529  0.515507  0.539216  0.331373  0.512924  0.511765  0.425490  0.464706  0.464706   0.335294  0.464706  0.484314
70    0.484314  0.503922  0.364573  0.496078  0.485723  0.511765  0.311765  0.482956  0.484314  0.409804  0.433333  0.433333   0.307843  0.433333  0.452941
71    0.456863  0.468627  0.336088  0.468627  0.457373  0.488235  0.296078  0.454375  0.452941  0.398039  0.405882  0.405882   0.300000  0.405882  0.421569
72    0.429412  0.445098  0.309053  0.445098  0.431322  0.456863  0.594118  0.429429  0.429412  0.378431  0.378431  0.378431   0.264706  0.378431  0.394118
73    0.405882  0.417647  0.285344  0.417647  0.406610  0.433333  0.570588  0.403342  0.401961  0.362745  0.358824  0.358598   0.268627  0.354902  0.374510
74    0.382353  0.394118  0.265370  0.394118  0.383296  0.409804  0.550980  0.379924  0.382353  0.358824  0.335294  0.335069   0.252941  0.331373  0.350980
